Title,Body,Labels,Assignees
Domestic Violence — /practice-areas/special/domestic-violence/,"Scope: Draft content for domestic violence. Min words: 1500. DoD & AC. See PRD §29–31.","content,phase-1,seo,a11y",
FAQ — /resources/faq/,"Scope: Draft content for FAQ. Min words: 1500. DoD & AC; FAQPage schema. See PRD §29–31.","content,phase-1,seo,a11y",
Privacy — /legal/privacy/,"Scope: Draft content for privacy. Min words: 1200. DoD & AC. See PRD §29–31.","content,phase-1,seo,a11y",
Terms — /legal/terms/,"Scope: Draft content for terms. Min words: 1200. DoD & AC. See PRD §29–31.","content,phase-1,seo,a11y",
Refund — /legal/refund-policy/,"Scope: Draft content for refund policy. Min words: 1200. DoD & AC. See PRD §29–31.","content,phase-1,seo,a11y",
Thank You — /thank-you/,"Scope: Draft content for thank-you page (transactional). DoD & AC. See PRD §29–31.","content,phase-1",
Payment Confirmation — /confirmation/,"Scope: Draft content for confirmation page (transactional). DoD & AC. See PRD §29–31.","content,phase-1",
404 — /404/,"Scope: Draft content for 404 (helpful links + contact). DoD & AC. See PRD §29–31.","content,phase-1",
Divorce Hub — /practice-areas/divorce/,"Scope: Long-form content for cornerstone hub. Min words: 3000. See PRD §30–31.","content,phase-2,seo,a11y",
Custody Hub — /practice-areas/custody/,"Scope: Long-form content for cornerstone hub. Min words: 3000. See PRD §30–31.","content,phase-2,seo,a11y",
Financial Hub — /practice-areas/financial/,"Scope: Long-form content for cornerstone hub. Min words: 3000. See PRD §30–31.","content,phase-2,seo,a11y",
Special Circumstances Hub — /practice-areas/special/,"Scope: Long-form content for cornerstone hub. Min words: 3000. See PRD §30–31.","content,phase-2,seo,a11y",
Property Division — /practice-areas/financial/property-division/,"Scope: Draft content. Min words: 1500. See PRD §32.","content,phase-2,seo,a11y",
Spousal Maintenance — /practice-areas/financial/spousal-maintenance/,"Scope: Draft content. Min words: 1500. See PRD §32.","content,phase-2,seo,a11y",
Debt Division — /practice-areas/financial/debt-division/,"Scope: Draft content. Min words: 1500. See PRD §32.","content,phase-2,seo,a11y",
Business Valuation — /practice-areas/financial/business-valuation/,"Scope: Draft content. Min words: 1500. See PRD §32.","content,phase-2,seo,a11y",
Retirement & QDROs — /practice-areas/financial/retirement-investment-accounts/,"Scope: Draft content. Min words: 1500. See PRD §32.","content,phase-2,seo,a11y",
Prenuptial — /practice-areas/financial/prenuptial/,"Scope: Draft content. Min words: 1500. See PRD §32.","content,phase-2,seo,a11y",
Postnuptial — /practice-areas/financial/postnuptial/,"Scope: Draft content. Min words: 1500. See PRD §32.","content,phase-2,seo,a11y",
Parental Rights — /practice-areas/custody/parental-rights/,"Scope: Draft content. Min words: 1500. See PRD §33.","content,phase-2,seo,a11y",
Modifications — /practice-areas/custody/modifications/,"Scope: Draft content. Min words: 1500. See PRD §33.","content,phase-2,seo,a11y",
Relocation — /practice-areas/custody/relocation/,"Scope: Draft content. Min words: 1500. See PRD §33.","content,phase-2,seo,a11y",
Evaluations — /practice-areas/custody/evaluations/,"Scope: Draft content. Min words: 1500. See PRD §33.","content,phase-2,seo,a11y",
Grandparents’ Rights — /practice-areas/custody/grandparents-rights/,"Scope: Draft content. Min words: 1500. See PRD §33.","content,phase-2,seo,a11y",
Paternity — /practice-areas/special/paternity/,"Scope: Draft content. Min words: 1500. See PRD §34.","content,phase-2,seo,a11y",
Mediation — /practice-areas/special/mediation/,"Scope: Draft content. Min words: 1500. See PRD §34.","content,phase-2,seo,a11y",
Appeals — /practice-areas/special/appeals/,"Scope: Draft content. Min words: 1500. See PRD §34.","content,phase-2,seo,a11y",
Enforcement — /practice-areas/special/enforcement/,"Scope: Draft content. Min words: 1500. See PRD §34.","content,phase-2,seo,a11y",
